Resume,Category
"intern Cybersecurity Analyst with experience in network security, ethical hacking, incident response, penetration testing, SIEM based in Colombo Sri Lanka",Cybersecurity Analyst
"mid-level Software Engineer with experience in software development, APIs, C#, ASP.NET, .NET based in Galle Sri Lanka",Software Engineer
"mid-level Software Engineer with experience in debugging, software development, APIs, C#, testing based in Sri Lanka Sri Lanka",Software Engineer
"junior DevOps Engineer with experience in cloud, CI/CD, Linux, Terraform, automation based in Kandy Sri Lanka",DevOps Engineer
"intern DevOps Engineer with experience in Jenkins, automation, Terraform, AWS, CI/CD based in Galle Sri Lanka",DevOps Engineer
"senior Database Administrator with experience in MySQL, SQL, database design, performance tuning, Oracle based in Sri Lanka Sri Lanka",Database Administrator
"senior Data Scientist with experience in pandas, data analysis, data visualization, machine learning, TensorFlow based in Kandy Sri Lanka",Data Scientist
"junior Web Developer with experience in MySQL, HTML, backend, React, frontend based in Negombo Sri Lanka",Web Developer
"intern Software Engineer with experience in SQL Server, software development, testing, APIs, ASP.NET based in Sri Lanka Sri Lanka",Software Engineer
"junior Mobile Developer with experience in UI/UX, Kotlin, Flutter, Android, Java based in Negombo Sri Lanka",Mobile Developer
"intern Data Scientist with experience in pandas, SQL, TensorFlow, data visualization, statistics based in Kandy Sri Lanka",Data Scientist
"junior Database Administrator with experience in SQL, database design, performance tuning, Oracle, MySQL based in Negombo Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in SQL, recovery, database design, backup, Oracle based in Negombo Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in database design, recovery, Oracle, MySQL, performance tuning based in Galle Sri Lanka",Database Administrator
"mid-level Database Administrator with experience in SQL, recovery, performance tuning, database design, backup based in Sri Lanka Sri Lanka",Database Administrator
"intern DevOps Engineer with experience in AWS, Kubernetes, CI/CD, Linux, automation based in Sri Lanka Sri Lanka",DevOps Engineer
"junior Cybersecurity Analyst with experience in threat analysis, SIEM, incident response, penetration testing, ethical hacking based in Colombo Sri Lanka",Cybersecurity Analyst
"intern DevOps Engineer with experience in AWS, cloud, Linux, Terraform, Kubernetes based in Galle Sri Lanka",DevOps Engineer
"mid-level Mobile Developer with experience in Java, Flutter, React Native, UI/UX, Android based in Colombo Sri Lanka",Mobile Developer
"senior Java Developer with experience in Maven, Java, OOP, Hibernate, SQL based in Kandy Sri Lanka",Java Developer
"junior Web Developer with experience in backend, Node.js, HTML, Laravel, CSS based in Colombo Sri Lanka",Web Developer
